series,timestamp,value,label
6A,2024-09-30T00:00:00Z,17.380000000000003,
6A,2024-09-30T00:00:45Z,16.91,
6A,2024-09-30T00:01:30Z,16.86,
6A,2024-09-30T00:02:15Z,13.28,
6A,2024-09-30T00:03:00Z,13.77,
6A,2024-09-30T00:03:45Z,13.8,
6A,2024-09-30T00:04:30Z,13.66,
6A,2024-09-30T00:05:15Z,14.14,
6A,2024-09-30T00:06:00Z,14.849999999999998,
6A,2024-09-30T00:06:45Z,14.029999999999998,
6A,2024-09-30T00:07:30Z,15.009999999999998,
6A,2024-09-30T00:08:15Z,14.2,
6A,2024-09-30T00:09:00Z,13.08,
6A,2024-09-30T00:09:45Z,13.79,
6A,2024-09-30T00:10:30Z,13.09,
6A,2024-09-30T00:11:15Z,12.71,
6A,2024-09-30T00:12:00Z,12.64,
6A,2024-09-30T00:12:45Z,12.41,
6A,2024-09-30T00:13:30Z,13.26,
6A,2024-09-30T00:14:15Z,14.21,
6A,2024-09-30T00:15:00Z,14.07,
6A,2024-09-30T00:15:45Z,13.38,
6A,2024-09-30T00:16:30Z,12.85,
6A,2024-09-30T00:17:15Z,12.77,
6A,2024-09-30T00:18:00Z,12.84,
6A,2024-09-30T00:18:45Z,12.72,
6A,2024-09-30T00:19:30Z,13.12,
6A,2024-09-30T00:20:15Z,14.24,
6A,2024-09-30T00:21:00Z,14.23,
6A,2024-09-30T00:21:45Z,16.990000000000002,
6A,2024-09-30T00:22:30Z,17.08,
6A,2024-09-30T00:23:15Z,17.23,
6A,2024-09-30T00:24:00Z,17.77,
6A,2024-09-30T00:24:45Z,18.05,
6A,2024-09-30T00:25:31Z,16.7,
6A,2024-09-30T00:26:15Z,17.14,
6A,2024-09-30T00:27:00Z,18.62,
6A,2024-09-30T00:27:45Z,17.24,
6A,2024-09-30T00:28:30Z,16.93,
6A,2024-09-30T00:29:15Z,16.75,
6A,2024-09-30T00:30:00Z,16.95,
6A,2024-09-30T00:30:45Z,17.25,
6A,2024-09-30T00:31:30Z,16.810000000000002,
6A,2024-09-30T00:32:15Z,16.67,
6A,2024-09-30T00:33:00Z,16.48,
6A,2024-09-30T00:33:45Z,17.23,
6A,2024-09-30T00:34:30Z,16.84,
6A,2024-09-30T00:35:15Z,16.740000000000002,
6A,2024-09-30T00:36:00Z,13.089999999999998,
6A,2024-09-30T00:36:45Z,13.58,
6A,2024-09-30T00:37:30Z,13.510000000000002,
6A,2024-09-30T00:38:15Z,13.13,
6A,2024-09-30T00:39:00Z,13.97,
6A,2024-09-30T00:39:45Z,13.19,
6A,2024-09-30T00:40:30Z,13.12,
6A,2024-09-30T00:41:15Z,13.51,
